,winery,wine,year,rating,num_reviews,region,price,type,body,acidity,parker_score
891,Bodegas Ximenez-Spinola,Anada Pedro Ximenez,2018,4.4,99,Jerez-Xeres-Sherry,17.5,Pedro Ximenez,5.0,1.0,
892,Abadia Retuerta,Le Domaine Blanco de Guarda,2020,4.4,99,Sardon de Duero,33.8,,,,
893,Artadi,Vina El Pison,1999,4.4,98,Vino de Espana,419.85,Tempranillo,4.0,2.0,
894,Portal del Priorat,Clos del Portal Somni,2016,4.4,98,Priorato,33.03,Priorat Red,4.0,3.0,
895,Terroir Al Limit Soc. Lda,Les Manyes,2015,4.4,98,Priorato,189.0,Priorat Red,4.0,3.0,
896,Castillo Perelada,Emporda Aires de Garbet,2017,4.4,98,Emporda,39.22,Red,4.0,3.0,
897,Pago de Vallegarcia,Montes de Toledo Syrah,2019,4.4,97,Castilla,19.5,Syrah,4.0,3.0,
898,Finca Torremilanos,Torremilanos Coleccion Ribera del Duero,2014,4.4,97,Ribera del Duero,44.0,Ribera Del Duero Red,5.0,3.0,
899,Vina Sastre,Regina Vides Ribera del Duero,2010,4.4,96,Ribera del Duero,101.1,Ribera Del Duero Red,5.0,3.0,
900,Eulogio Pomares,Maceracion Con Pieles,2017,4.4,95,Rias Baixas,36.95,Albarino,3.0,3.0,
901,Toro Albala,Don PX Pedro Ximenez,1986,4.4,95,Montilla-Moriles,225.0,Pedro Ximenez,5.0,1.0,
902,Marques de Riscal,Baron de Chirel Rioja Reserva,2003,4.4,95,Rioja,77.0,Rioja Red,4.0,3.0,
903,Casa Castillo,Pie Franco,2018,4.4,95,Jumilla,69.0,Monastrell,5.0,3.0,
904,Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2004,4.4,94,Rioja,90.0,Rioja Red,4.0,3.0,
905,Sangenis I Vaque,Clos Monlleo,2011,4.4,94,Priorato,50.0,Priorat Red,4.0,3.0,
906,Allende,Calvario Rioja,2010,4.4,92,Rioja,125.97,Rioja Red,4.0,3.0,
907,Delgado Zuleta,B.Rodriguez La-Cave Quo Vadis?,,4.4,89,Jerez Amontillado,87.9,Sherry,4.0,3.0,
908,Bodegas Mas Alta,La Solana Alta,2017,4.4,90,Priorato,63.46,,,,
909,Vinas del Vero,Blecua Somontano,2004,4.4,88,Somontano,69.0,Red,4.0,3.0,
910,Merum Priorati,El Cel,2016,4.4,88,Priorato,64.0,Priorat Red,4.0,3.0,
911,VALENCISO,Rioja Reserva 10 Anos Despues Edicion Limitada,2011,4.4,88,Rioja,57.9,Rioja Red,4.0,3.0,
912,Artadi,El Carretil,2014,4.4,86,Vino de Espana,143.51,Tempranillo,4.0,2.0,
913,Mas Perinet,Perinet + Plus,2004,4.4,85,Priorato,54.05,Priorat Red,4.0,3.0,
914,Espectacle del Montsant,Tinto,2017,4.4,85,Montsant,102.0,Montsant Red,4.0,3.0,
915,Clos Mogador,Priorat,1999,4.4,85,Priorato,95.0,Priorat Red,4.0,3.0,
916,Luis A. Rodriguez Vazquez,Vina de Martin Escolma Ribeiro,2016,4.4,85,Ribeiro,37.65,,,,
917,Artadi,Vina El Pison,2001,4.4,85,Vino de Espana,340.0,Tempranillo,4.0,2.0,
918,Carmelo Rodero,Reserva,2018,4.4,83,Ribera del Duero,28.9,Ribera Del Duero Red,5.0,3.0,
919,Alvaro Palacios,Finca Dofi,2019,4.4,82,Priorato,84.55,Priorat Red,4.0,3.0,
920,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1959,4.4,80,Rioja,940.0,Rioja Red,4.0,3.0,
921,Martinet,Cami Pesseroles,2008,4.4,80,Priorato,152.6,Priorat Red,4.0,3.0,
922,Vizcarra,Ribera del Duero Torralvo,2018,4.4,80,Ribera del Duero,32.45,Ribera Del Duero Red,5.0,3.0,
923,Chozas Carrascal,El Cabernet F - Familiar,2017,4.4,80,Utiel-Requena,34.9,Red,4.0,3.0,
924,Bodegas Vilano,Premium,2018,4.4,79,Ribera del Duero,35.0,Ribera Del Duero Red,5.0,3.0,
925,Pago de Vallegarcia,Hipperia Red Blend,2018,4.4,79,Castilla,24.9,Red,4.0,3.0,
926,Alonso del Yerro,Maria Ribera del Duero,2016,4.4,78,Ribera del Duero,53.9,Ribera Del Duero Red,5.0,3.0,
927,Emilio Moro,Vendimia Seleccionada,2019,4.4,77,Ribera del Duero,21.38,Ribera Del Duero Red,5.0,3.0,
928,Artadi,Vina El Pison,2016,4.4,77,Vino de Espana,385.0,Tempranillo,4.0,2.0,
929,Clos Figueras,Clos Figueres,2017,4.4,75,Priorato,53.4,Priorat Red,4.0,3.0,
930,Bodegas Monte La Reina,Castillo de Monte la Reina Cuvee Privee,2015,4.4,75,Toro,14.65,Toro Red,5.0,3.0,
931,Alonso del Yerro,Maria Ribera del Duero,2015,4.4,75,Ribera del Duero,54.9,Ribera Del Duero Red,5.0,3.0,
932,Sacristia AB,Amontillado Saca,,4.4,74,Jerez-Xeres-Sherry,62.02,Sherry,4.0,3.0,
933,Ontanon,Queiron Reserva Vinedos Familiares,2011,4.4,74,Rioja,26.85,Rioja Red,4.0,3.0,
934,Martinet,Cami Pesseroles,2011,4.4,74,Priorato,126.5,Priorat Red,4.0,3.0,
935,Toro Albala,Don PX Gran Reserva,1990,4.4,73,Montilla-Moriles,35.9,Pedro Ximenez,5.0,1.0,
936,Ferrer Bobet,Seleccio Especial Vinyes Velles,2017,4.4,73,Priorato,64.35,Priorat Red,4.0,3.0,
937,Dominio de Atauta,Llanos del Almendro Ribera del Duero,2011,4.4,73,Ribera del Duero,115.2,Ribera Del Duero Red,5.0,3.0,
938,Alta Alella,Dolc Mataro,2018,4.4,72,Alella,17.95,,,,
939,Muga,Prado Enea Gran Reserva,1989,4.4,72,Rioja,140.0,Rioja Red,4.0,3.0,
940,Muga,Prado Enea Gran Reserva,1991,4.4,72,Rioja,167.0,Rioja Red,4.0,3.0,
941,Teso La Monja,Victorino,2019,4.4,71,Toro,33.9,Toro Red,5.0,3.0,
942,Bodegas Roda,Roda I Reserva Rioja,2017,4.4,71,Rioja,45.95,Rioja Red,4.0,3.0,
943,Bodega Elias Mora,Toro 2V Premium,2005,4.4,70,Toro,44.0,Toro Red,5.0,3.0,
944,Tridente,Rejon Tempranillo,2018,4.4,70,Castilla y Leon,31.94,Tempranillo,4.0,2.0,
945,Joan Simo,Les Eres Vinyes Velles,2015,4.4,70,Priorato,32.49,Priorat Red,4.0,3.0,
946,Hacienda Lopez de Haro,Gran Reserva Classica Blanco,2012,4.4,70,Rioja,36.75,Rioja White,3.0,3.0,
947,Can Axartell,The Artist,2016,4.4,69,Mallorca,26.84,Red,4.0,3.0,
948,Juan Pinero,Amontillado 30 Years Old V.O.R.S Sherry,,4.4,69,Jerez Amontillado,36.9,Sherry,4.0,3.0,
949,Pazo Barrantes,La Comtesse de Pazo Barrantes Albarino,2017,4.4,69,Rias Baixas,59.95,Albarino,3.0,3.0,
950,Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2007,4.4,69,Priorato,241.4,Priorat Red,4.0,3.0,
951,Abadia Retuerta,Seleccion Especial,2018,4.4,68,Sardon de Duero,27.6,Red,4.0,3.0,
952,Abel Mendoza Monge,5V Blanco,2019,4.4,68,Rioja,37.98,Rioja White,3.0,3.0,
953,Mas Llunes,Finca Butaros Vinya Centenaria,2015,4.4,67,Emporda,32.23,Red,4.0,3.0,
954,Familia Torres,Grans Muralles,2016,4.4,67,Conca de Barbera,123.76,Red,4.0,3.0,
955,Losada,La Bienquerida,2018,4.4,66,Bierzo,34.55,Mencia,3.0,3.0,
956,Artadi,El Carretil,2016,4.4,66,Vino de Espana,155.0,Tempranillo,4.0,2.0,
957,Marques de Vargas,Seleccion Privada,2011,4.4,65,Rioja,68.0,Rioja Red,4.0,3.0,
958,Protos,Seleccion Finca el Grajo Viejo,2017,4.4,65,Ribera del Duero,59.9,Ribera Del Duero Red,5.0,3.0,
959,Bodegas Frontaura,Aponte Winemaker's Private Collection Tempranillo,2008,4.4,66,Toro,112.0,Tempranillo,4.0,2.0,
960,Roig Parals,Cami de Cormes,2018,4.4,65,Emporda,14.18,Red,4.0,3.0,
961,Oxer Wines,Kalamity Rioja,2017,4.4,65,Rioja,106.0,Rioja Red,4.0,3.0,
962,Perinet,1194,2016,4.4,64,Priorato,105.8121097,Red,4.0,3.0,
963,Cepa 21,Malabrigo Ribera del Duero,2018,4.4,65,Ribera del Duero,31.5,Ribera Del Duero Red,5.0,3.0,
964,Romate,Old & Plus Pedro Ximenez,,4.4,64,Jerez Pedro Ximenes (PX),42.12,Sherry,4.0,3.0,
965,Avgvstvs,Reserva Trajanvs,2016,4.4,64,Penedes,21.5,Red,4.0,3.0,
966,Alvaro Palacios,Finca Dofi,1999,4.4,64,Priorato,75.0,Priorat Red,4.0,3.0,
967,Jorge Ordonez,No. 2 Victoria,2018,4.4,64,Malaga,15.9,,,,
968,Remelluri,Granja Gran Reserva Rioja,2013,4.4,63,Rioja,53.9,Rioja Red,4.0,3.0,
969,Castillo Perelada,Emporda Gran Claustro,2015,4.4,63,Emporda,30.86,Red,4.0,3.0,
970,Anima Negra,Son Negre,2010,4.4,63,Mallorca,235.95,Red,4.0,3.0,
971,Vinicola Real,200 Monges Rioja Reserva,2012,4.4,62,Rioja,38.5,Rioja Red,4.0,3.0,
972,Ramon Bilbao,Lalomba Finca Valhonta,2017,4.4,61,Rioja,56.75,Rioja Red,4.0,3.0,
973,Clos Mogador,Manyetes,2017,4.4,61,Priorato,59.9,Priorat Red,4.0,3.0,
974,Vina Pedrosa,Gran Reserva,2014,4.4,60,Ribera del Duero,122.667917,Ribera Del Duero Red,5.0,3.0,
975,Recaredo,Serral del Vell Brut Nature,2016,4.4,60,Cava,34.56,Cava,2.0,3.0,
976,Abadia Retuerta,Pago Valdebellon,2016,4.4,60,Sardon de Duero,65.9,Cabernet Sauvignon,4.0,3.0,
977,Gramona,Cava Celler Batlle,2011,4.4,59,Cava,59.75,Cava,2.0,3.0,
978,Vina Sastre,Pesus Ribera del Duero,2003,4.4,59,Ribera del Duero,509.25,Ribera Del Duero Red,5.0,3.0,
979,Terroir Al Limit Soc. Lda,Les Tosses,2013,4.4,59,Priorato,158.88,Priorat Red,4.0,3.0,
980,Leda,Guarda de Leda Seleccion Tempranillo,2015,4.4,59,Castilla y Leon,37.66,Tempranillo,4.0,2.0,
981,Enric Soler,Nun Vinya dels Taus,2018,4.4,59,Penedes,62.7,,,,
982,Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2016,4.4,58,Priorato,60.73,Priorat Red,4.0,3.0,
