winery,wine,year,rating,num_review,country,region,price,type,body,acidity
Oliver Conti,Indispensable Rosé,2021,"3,6",16,España,Empordà,"5,90",Vino rosado,,
Particular,Cariñena,2017,"3,6",84,España,Cariñena,"5,90",Vino tinto,,
Hacienda López de Haro,Blanco,2020,"3,6",78,España,Rioja,"5,90",Vino blanco,,
Alvarez de Toledo,Mencia Roble,2020,"3,6",11,España,Bierzo,"5,90",Vino tinto,,
Bodegas Piqueras,Wild Fermented Verdejo,2020,"3,8",372,España,Almansa,"5,90",Vino blanco,,
Carlos Valero,Matarile Chardonnay - Gewürztraminer,2018,"3,9",18,España,Somontano,"5,90",Vino blanco,,
Marqués de Cáceres,Rueda Verdejo,2020,"3,8",1486,España,Rueda,"5,90",Vino blanco,,
Monasterio de Las Vinas,Reserva Grandes Vinos L'Héritage Cariñena,2016,"3,9",217,España,Cariñena,"5,90",Vino tinto,,
Monasterio de Las Vinas,Reserva Grandes Vinos L'Héritage Cariñena,2017,"3,7",137,España,Cariñena,"5,90",Vino tinto,,
Oliver Conti,Indispensable Blanc,2020,"3,6",149,España,Empordà,"5,90",Vino blanco,,
Particular,Garnacha Old Vine,2018,"3,8",144,España,Cariñena,"5,90",Vino tinto,,
Freixenet,Mia Pink Moscato,1978,"4,1",212,España,Cataluña,"5,90",Vino espumoso,,
Vall de Baldomar,Petit Baldomà Blanco,2020,"3,7",13,España,Costers del Segre,"5,90",Vino blanco,,
Cuatro Rayas,Vendimia Nocturna Sauvignon,2021,"3,6",40,España,Rueda,"5,90",Vino blanco,,
Canopy,Ganadero Blanco,2019,"4,0",24,España,Méntrida,"5,90",Vino blanco,,
Bodegas Valdemar,Conde de Valdemar Tempranillo,2021,"3,8",25,España,Rioja,"5,90",Vino tinto,,
Cuatro Rayas,Vendimia Nocturna Verdejo,2021,"3,7",136,España,Rueda,"5,90",Vino blanco,,
Volver,Tarima Mediterráneo,2021,"3,7",21,España,Alicante,"5,90",Vino blanco,,
Hacienda López de Haro,Blanco,2021,"3,6",12,España,Rioja,"5,90",Vino blanco,,
Campo Viejo,Ecológico,2020,"3,7",38,España,Rioja,"5,90",Vino tinto,,
Castillo Perelada,Emporda Blanc de Blancs,2019,"3,6",183,España,Empordà,"5,90",Vino blanco,,
Bodegas Arraez,Eduardo Bermejo Tinto,2020,"3,6",113,España,Valencia,"5,90",Vino tinto,,
Celler de Sanui,El Petit de Sanui Blanc,2019,"3,8",11,España,Costers del Segre,"5,90",Vino blanco,,
Equilibrio,Sauvignon Blanc,2020,"3,7",69,España,Jumilla,"5,90",Vino blanco,,
Canopy,Ganadero,2019,"3,7",258,España,Méntrida,"5,90",Vino tinto,,
Baron de Ley,Blanco,2021,"3,8",14,España,Rioja,"5,90",Vino blanco,,
Bodegas Ponce,Depaula Monastrell,2021,"3,7",13,España,Jumilla,"5,90",Vino tinto,,
Liberalia,Tres,2019,"4,1",11,España,Toro,"5,94",Vino tinto,,
Pittacum,Petit Pittacum,2020,"3,7",288,España,Bierzo,"5,94",Vino tinto,,
Herrero Bodega,Erre de Herrero Verdejo,2019,"3,9",68,España,Rueda,"5,94",Vino blanco,,
Linea Kármán,Tinto,2020,"3,8",18,España,Rioja,"5,94",Vino tinto,,
Perez Barquero,Finca la Cañada Albarizas Verdejo,2021,"3,7",31,España,Montilla-Moriles,"5,95",Vino blanco,,
Empordàlia,Sinols Criança,2020,"3,9",39,España,Empordà,"5,95",Vino tinto,,
Coma d'En Bonet,Dardell Tinto,2020,"3,7",46,España,Terra Alta,"5,95",Vino tinto,,
Barahonda,Organic Monastrell - Merlot,2020,"4,0",72,España,Yecla,"5,95",Vino tinto,,
Félix Solís,Mucho Mas Rosado,0784,"3,9",426,España,Vino de España,"5,95",Vino rosado,,
Palacio de Bornos,"Rosado 5,5° Frizzante",5475,"3,8",84,España,Castilla y León,"5,95",Vino espumoso,,
Pinord,Penedès Blanc de Blancs Clos de Torribas,2021,"3,6",11,España,Penedès,"5,95",Vino blanco,,
Finca Antigua,Petit Verdot,2017,"3,6",66,España,La Mancha,"5,95",Vino tinto,,
Pagos de Aráiz,Crianza,2016,"3,7",577,España,Navarra,"5,95",Vino tinto,,
Celler Cedo Anguera,Anexe,2020,"3,8",29,España,Montsant,"5,95",Vino tinto,,
Bodegas Olarra,Añares Terra Nova Verdejo,2021,"3,8",48,España,Rueda,"5,95",Vino blanco,,
Castro Ventosa,El Castro de Valtuille Mencía Joven,2020,"3,7",339,España,Bierzo,"5,95",Vino tinto,,
Bodegas Faustino,Crianza,2018,"3,6",832,España,Rioja,"5,95",Vino tinto,,
Tridente,Gota de Arena,2018,"3,7",919,España,Castilla y León,"5,95",Vino tinto,,
Pagos de Aráiz,Crianza,2018,"4,0",142,España,Navarra,"5,95",Vino tinto,,
Pagos del Rey,Sentero Roble Tinta de Toro,2018,"3,7",100,España,Toro,"5,95",Vino tinto,,
Viña Mayor,Rueda Verdejo,2021,"3,9",236,España,Rueda,"5,95",Vino blanco,,
Palacio de Bornos,Vaya Pasada Verdejo,2021,"3,6",34,España,Rueda,"5,95",Vino blanco,,
Volver,Tarima Organic,2020,"3,7",33,España,Alicante,"5,95",Vino tinto,,
Rafael Cambra,Soplo Blanco,2021,"3,8",10,España,Valencia,"5,95",Vino blanco,,
Cuatro Rayas,Verdejo,2019,"3,6",360,España,Rueda,"5,95",Vino blanco,,
Arnegui,Crianza Rioja,2017,"3,6",351,España,Rioja,"5,95",Vino tinto,,
Bodega Emina,Rosado,2021,"3,7",17,España,Cigales,"5,95",Vino rosado,,
Juan Gil,Jumilla Yellow Label,2020,"3,9",1202,España,Jumilla,"5,95",Vino tinto,,
Lan,Duquesa De Valladolid Verdejo Rueda,2020,"3,9",327,España,Rueda,"5,95",Vino blanco,,
Freixenet,Cava Carta Nevada Brut,1384,"3,6",14854,España,Cava,"6,40",Vino espumoso,,
Familia Bastida,Biftu Bobal,2020,"4,0",14,España,Utiel-Requena,"5,95",Vino tinto,,
Viñedos de Horizonte,Hacienda Real Airén,2019,"3,9",11,España,Castilla,,Vino blanco,,
Bodega Otto Bestué,Chardonnay,2021,"3,7",38,España,Somontano,"5,95",Vino blanco,,
María de Molina,Verdejo,2021,"3,6",14,España,Rueda,"5,95",Vino blanco,,
Vía de la Plata,Cava Brut Nature,5028,"3,6",630,España,Cava,"5,95",Vino espumoso,,
Marqués de Cáceres,Excellens Rioja Rosé,2021,"4,0",127,España,Rioja,"5,95",Vino rosado,,
Peique,Mencía,2020,"3,6",24,España,Bierzo,"5,95",Vino tinto,,
Cuatro Rayas,Vendimia Nocturna Verdejo,2020,"3,7",296,España,Rueda,"5,95",Vino blanco,,
Carlos Moro,Oinoz Verdejo,2019,"3,6",141,España,Rueda,"5,95",Vino blanco,,
Arnegui,Crianza Rioja,2018,"3,7",47,España,Rioja,"5,95",Vino tinto,,
Peñamonte,5 Meses en Barrica,2019,"3,7",87,España,Castilla y León,"5,95",Vino tinto,,
Fariña,Primero,2021,"3,7",182,España,Toro,"5,95",Vino tinto,,
Luzon,Jumilla Monastrell Orgánico San Sulfitos,2021,"3,8",22,España,Jumilla,"5,95",Vino tinto,,
Blanco Nieva,Menganito Verdejo,2021,"3,8",19,España,Rueda,"5,95",Vino blanco,,
Cuatro Rayas,Vendimia Nocturna Sauvignon,2020,"3,7",117,España,Rueda,"5,95",Vino blanco,,
Bodega Emina,Rosado,2020,"3,6",81,España,Cigales,"5,95",Vino rosado,,
Volver,Wrongo Dongo Monastrell,2020,"3,6",67,España,Jumilla,"5,95",Vino tinto,,
Martin Berdugo,Joven,2021,"3,6",37,España,Ribera del Duero,"5,95",Vino tinto,,
Alceño,Organic Monastrell Jumilla,2020,"3,8",20,España,Jumilla,"5,95",Vino tinto,,
Cossetània,Cava Brut Reserva,9446,"3,7",197,España,Cava,"5,97",Vino espumoso,,
Campillo,El Niño de Campillo Rioja,2020,"3,6",144,España,Rioja,"5,97",Vino tinto,,
Borsao Bodegas,Bole,2018,"3,7",47,España,Campo de Borja,"5,99",Vino tinto,,
Yllera,12 Meses en Barrica Tempranillo,2018,"3,8",234,España,Ribera del Duero,"5,99",Vino tinto,,
Cune (CVNE),Crianza,2018,"3,6",4166,España,Rioja,"5,99",Vino tinto,,
Celler Ronadelles - Cap de Ruc,Flor del Montsant Criança,2016,"3,6",180,España,Montsant,"5,99",Vino tinto,,
Bodegas Piqueras,El Abuelo de Piqueras Crianza,2019,"4,1",72,España,Almansa,,Vino tinto,,
Equilibrio,Sauvignon Blanc,2019,"4,0",50,España,Jumilla,"5,99",Vino blanco,,
Hoya de Cadenas,Cava Brut,7360,"3,6",540,España,Cava,"5,99",Vino espumoso,,
Castillo de Aresan,El Rosé de Aresan Garnacha - Cabernet,2020,"4,0",155,España,Castilla,"5,99",Vino rosado,,
Raimat,Clamor Rosado,2020,"3,7",90,España,Costers del Segre,"5,99",Vino rosado,,
Bodegas Pedro Escudero,Valdelagunde Verdejo,2021,"4,1",460,España,Rueda,,Vino blanco,,
Félix Solís,Mucho Más Tinto - Black Edition,1327,"4,1",1150,España,Vino de España,,Vino tinto,,
La Maldita,Garnacha Rosé,2020,"3,6",93,España,Rioja,6,Vino rosado,,
Izadi,Larrosa Blanc,2020,"3,7",41,España,Rioja,6,Vino blanco,,
Baluarte,Rosado,2020,"3,6",20,España,Navarra,6,Vino rosado,,
La Maldita,Garnacha Blanca,2020,"3,9",121,España,Rioja,6,Vino blanco,,
Hijos de Alberto Gutiérrez,Monasterio de Palazuelos Verdejo,2021,"3,7",99,España,Castilla y León,6,Vino blanco,,
Sierra Cantabria,Rosado,2020,"3,8",35,España,Rioja,"6,03",Vino rosado,,
Arnegui,Crianza Rioja,2016,"3,6",665,España,Rioja,"6,05",Vino tinto,,
Palacio de Bornos,Verdejo,2021,"3,7",160,España,Rueda,"6,05",Vino blanco,,
Lustau,Macarena Manzanilla Sanlucar de Barrameda,2388,"3,6",326,España,Manzanilla,"6,05",Vino fortificado,,
Familia Torres,Mas Rabell,2017,"3,7",1185,España,Cataluña,"6,05",Vino tinto,,
Finca Antigua,Petit Verdot,2018,"3,8",19,España,La Mancha,"6,05",Vino tinto,,
Urbion,Cuvée Tinto,2019,"3,6",13,España,Rioja,"6,09",Vino tinto,,
Tardencuba,Verdejo Rueda,2019,"3,8",16,España,Rueda,"6,10",Vino blanco,,
Vivanco,Tempranillo - Garnacha Rioja Rosado,2018,"3,7",48,España,Rioja,"6,10",Vino rosado,,
Espinaler,Vermut Rojo,7473,"3,8",144,España,Cataluña,"6,10",Vino fortificado,,
Palacio de Sada,Garnacha,2019,"3,9",16,España,Navarra,"6,10",Vino tinto,,
Bodegas Bellod,Mas del Nen Vailet,2019,"3,7",12,España,Conca de Barberà,"6,10",Vino blanco,,
Honoro Vera,Garnacha,2019,"3,8",2446,España,Calatayud,"5,25",Vino tinto,,
Baltasar Gracián,El Politico Garnacha,2016,"3,6",390,España,Calatayud,"6,10",Vino tinto,,
Celler Cooperatiu d'Espolla,Moscatell d'Empordà,5102,"3,9",93,España,Empordà,"6,10",Vino de postre,,
Bodegas Félix Lorenzo Cachazo,Carrasviñas Rueda Verdejo,2021,"4,0",115,España,Rueda,"6,10",Vino blanco,,
Celler de Capçanes,Mas Donis Blanc,2021,"3,8",20,España,Montsant,"6,10",Vino blanco,,
Bodegas Vallobera,Malarina,2020,"3,7",43,España,Rioja,"6,10",Vino tinto,,
Familia Torres,Mas Rabell,2020,"3,6",15,España,Cataluña,"6,10",Vino tinto,,
Shaya,Arindo,2020,"3,7",54,España,Rueda,"6,12",Vino blanco,,
Portia,Roble,2020,"3,8",152,España,Ribera del Duero,"6,12",Vino tinto,,
Sierra Cantabria,Selección,2019,"3,8",139,España,Rioja,"6,13",Vino tinto,,
Castillo de Maetierra,Libalis Blanco,2020,"4,0",114,España,Valles de Sadacia,"6,15",Vino blanco,,
Bodega Tandem,Ars In Vitro,2018,"3,6",65,España,Navarra,"6,15",Vino tinto,,
Castillo de Maetierra,Libalis Frizz 5.5,9078,"3,8",411,España,Valles de Sadacia,"6,15",Vino blanco,,
Altos Ibéricos,Crianza,2018,"3,7",171,España,Rioja,"6,16",Vino tinto,,
Familia Torres,22 Pies Rioja Crianza,2018,"3,6",16,España,Rioja,"6,16",Vino tinto,,
Juan Gil,Moscatel Seco,2021,"3,7",23,España,Jumilla,"6,17",Vino blanco,,
Federico Paternina,Rioja Reserva,2016,"3,7",813,España,Rioja,"6,17",Vino tinto,,
Terrai,OVG Old Vine Garnacha,2019,"3,7",87,España,Cariñena,"6,17",Vino tinto,,
Rigau Ros,Criança,2019,"3,7",13,España,Empordà,"6,17",Vino tinto,,
Tagonius,Tinto Roble,2016,"3,6",149,España,Madrid,"6,18",Vino tinto,,
Volver,Paso a Paso Tempranillo,2020,"3,7",97,España,Castilla,"6,18",Vino tinto,,
Campo Viejo,Crianza Vendimia Seleccionada,2017,"3,7",280,España,Rioja,"6,20",Vino tinto,,
Familia Torres,Verdeo Verdejo,2020,"3,6",565,España,Rueda,"6,20",Vino blanco,,
Marina Espumante,Espumoso,3879,"3,7",795,España,Alicante,"6,20",Vino espumoso,,
Bodega Emina,Sauvignon Blanc,2020,"3,8",41,España,Rueda,"6,20",Vino blanco,,
Hacienda López de Haro,Crianza,2019,"3,8",443,España,Rioja,"6,20",Vino tinto,,
Bodegas Príncipe de Viana,Entreflores Verdejo,2021,"3,6",19,España,Rueda,"6,20",Vino blanco,,
Viña Albina,Semidulce,2019,"3,7",33,España,Rioja,"6,20",Vino blanco,,
Divina Proporción,Encomienda De La Vega,2019,"3,6",16,España,Toro,"6,20",Vino tinto,,
Bodegas Faustino,Cava Semi Seco,5279,"3,6",955,España,Cava,"6,22",Vino espumoso,,
Hacienda López de Haro,Crianza,2018,"3,7",2365,España,Rioja,"6,23",Vino tinto,,
Gran Ducay,Cava Brut Nature Reserva,4041,"3,7",101,España,Cava,"6,24",Vino espumoso,,
Matarromera,Melior Verdejo,2021,"3,6",75,España,Rueda,"6,25",Vino blanco,,
Toresanas,Orot Roble,2017,"3,8",60,España,Toro,"6,25",Vino tinto,,
Baron de Ley,Rioja Rosado,2021,"3,7",55,España,Rioja,"6,25",Vino rosado,,
Bodegas Care,Tinto Roble Garnacha - Syrah,2019,"4,0",158,España,Cariñena,"6,25",Vino tinto,,
Domeco de Jarauta,Viña Marro Crianza,2018,"3,8",34,España,Rioja,"6,25",Vino tinto,,
De Moya,Justina,2020,"3,8",29,España,Valencia,"6,25",Vino tinto,,
Raimat,Castell de Raimat Chardonnay,2021,"3,8",184,España,Costers del Segre,"6,25",Vino blanco,,
Baron de Ley,Blanco,2020,"3,7",132,España,Rioja,"6,40",Vino blanco,,
Tres Pilares,Verdejo,2021,"3,8",25,España,Rueda,"6,25",Vino blanco,,
Mocen,Selección Especial Verdejo,2021,"4,1",162,España,Rueda,"6,25",Vino blanco,,
Analivia,Verdejo Selección,2020,"3,6",183,España,Rueda,"6,25",Vino blanco,,
Marqués de Cáceres,Rioja Ecológico Bio,2020,"3,6",102,España,Rioja,"6,26",Vino tinto,,
Vitivinos,Azua Crianza Selección Bobal Viejo,2016,"3,6",20,España,Manchuela,"6,26",Vino tinto,,
Marqués de Cáceres,Excellens Verdejo,2021,"3,9",73,España,Rueda,"6,26",Vino blanco,,
Protos,Rosado (Clarete),2021,"3,7",71,España,Cigales,"6,26",Vino rosado,,
Marqués de la Concordia,Vega de La Reina Verdejo,2019,"3,8",592,España,Rueda,"6,26",Vino blanco,,
Bodegas Cosme Palacio,Glorioso Rioja Crianza,2017,"3,7",218,España,Rioja,"6,27",Vino tinto,,
Bodegas Franco-Españolas,Rioja Bordón Crianza,2018,"3,7",445,España,Rioja,"6,28",Vino tinto,,
Bodegas Faustino,Art Collection Crianza,2016,"3,7",577,España,Rioja,"6,29",Vino tinto,,
Cuatro Rayas,Cuarenta Vendimias Verdejo,2020,"3,9",387,España,Rueda,"6,30",Vino blanco,,
Carlos Moro,Oinoz Verdejo,2021,"3,8",14,España,Rueda,"6,30",Vino blanco,,
El Coto,Crianza,2017,"3,7",5760,España,Rioja Alavesa,"13,75",Vino tinto,,
Alcorta,Atrevido Verdejo,2021,"3,7",28,España,Rueda,"6,30",Vino blanco,,
Alcorta,Roble,2020,"3,6",31,España,Ribera del Duero,"6,30",Vino tinto,,
Montespina,Verdejo,2020,"3,8",416,España,Rueda,"6,30",Vino blanco,,
Montespina,Sauvignon,2020,"3,7",112,España,Rueda,"6,30",Vino blanco,,
Oliver Conti,Indispensable Blanc,2021,"3,8",73,España,Empordà,"6,30",Vino blanco,,
Montespina,Sauvignon,2019,"3,7",175,España,Rueda,"6,30",Vino blanco,,
Carlos Moro,Oinoz Verdejo,2020,"3,8",162,España,Rueda,"6,30",Vino blanco,,
Yllera,Verdejo Vendimia Nocturna,2021,"3,6",88,España,Rueda,"6,30",Vino blanco,,
Freixenet,Cava Carta Nevada Premium Semi Dry (Semi-Seco),6451,"3,6",2356,España,Cataluña,"6,30",Vino espumoso,,
Marina Alta,Gran Selección Blanco,2020,"4,0",864,España,Alicante,"6,32",Vino blanco,,
Pago Aylés,Unexpected Garnacha,2019,"4,0",110,España,Cariñena,"6,34",Vino tinto,,
Pago del Cielo,Celeste Verdejo,2021,"3,9",142,España,Rueda,"6,35",Vino blanco,,
Vinos del Viento - Michael Cooper,Aventura,2018,"3,8",12,España,Vino de España,"6,35",Vino tinto,,
Obalo,Pinturas Rioja Crianza,2017,"3,8",11,España,Rioja,"6,35",Vino tinto,,
Beronia,Rioja Crianza,2018,"3,7",1826,España,Rioja,"6,35",Vino tinto,,
Valcarlos,Fortius Blanco Chardonnay,2016,"3,6",95,España,Navarra,"6,35",Vino blanco,,
Espelt,Vailet,2021,"3,6",31,España,Empordà,"6,35",Vino blanco,,
Berceo,Crianza,2017,"3,8",111,España,Rioja,"6,35",Vino tinto,,
Viña Bujanda,Rioja Crianza,2017,"3,6",402,España,Rioja,"6,35",Vino tinto,,
Ontañón,Rioja Crianza,2018,"3,7",57,España,Rioja,"6,35",Vino tinto,,
Vinos del Paseante,L'Encís Garnatxa Blanca - Sauvignon Blanc,2021,"3,9",12,España,Empordà,"6,37",Vino blanco,,
Viniric,Vella Lola Negre,2020,"3,7",19,España,Empordà,"6,38",Vino tinto,,
Cune (CVNE),Rosado,2018,"3,6",778,España,Rioja,"6,39",Vino rosado,,
Familia Torres,Verdeo Verdejo,2021,"3,7",145,España,Rueda,"6,39",Vino blanco,,
Vivanco,Rioja Blanco,2020,"3,6",136,España,Rioja,"6,40",Vino blanco,,
Agusti Torello Mata,Xic Vermell,2020,"4,0",12,España,Penedès,"6,40",Vino rosado,,
Yllera,5.5 Verdejo Frizzante,4987,"3,8",2408,España,Castilla y León,"6,40",Vino espumoso,,
Bodegas Care,Solidarity Rosé,2021,"3,6",47,España,Cariñena,"6,40",Vino rosado,,
Vivanco,Tempranillo - Garnacha Rioja Rosado,2020,"3,7",13,España,Rioja,"6,40",Vino rosado,,
Agusti Torello Mata,Xic Xarel-lo,2020,"3,6",136,España,Penedès,"6,40",Vino blanco,,
Castro Ventosa,El Castro de Valtuille Mencía Joven,2021,"3,6",38,España,Bierzo,"6,40",Vino tinto,,
Beso de Rechenna,Bobal Crianza,2018,"3,8",26,España,Utiel-Requena,"6,41",Vino tinto,,
Navajas,Rioja Crianza Tinto,2017,"3,8",429,España,Rioja,"6,41",Vino tinto,,
Bodegas Ochoa,8A Crianza,2017,"3,7",117,España,Navarra,"6,41",Vino tinto,,
Vega Real,Ribera del Duero Roble,2019,"3,8",60,España,Ribera del Duero,"6,44",Vino tinto,,
Monasterio de Las Vinas,Reserva,2017,"3,7",183,España,Cariñena,"6,45",Vino tinto,,
Castillo Perelada,3 Finques (Fincas),2018,"3,7",278,España,Empordà,"6,45",Vino tinto,,
Viña Bujanda,Rioja Crianza,2019,"3,6",48,España,Rioja,"6,45",Vino tinto,,
Marques de Mundaiz,Rioja Crianza,2018,"3,6",53,España,Rioja,"6,45",Vino tinto,,
Loxarel,Vintage Reserva Brut Nature,2014,"3,9",81,España,Penedès,"6,45",Vino espumoso,,
Baluarte,Muscat,2021,"4,2",92,España,Navarra,"6,45",Vino blanco,,
Familia Torres,Mas Rabell,2019,"3,8",94,España,Cataluña,"6,45",Vino tinto,,
Bodegas Fontana,Oveja Blanca Dry Muscat,2021,"4,1",58,España,Uclés,"6,45",Vino blanco,,
Sierra Cantabria,Murmurón,2021,"3,6",18,España,Rioja,"6,46",Vino tinto,,
Castillo de Monjardin,Chardonnay,2021,"3,6",36,España,Navarra,"6,47",Vino blanco,,
Celler Cooperatiu d'Espolla,Garnatxa d'Empordà,5004,"3,6",155,España,Empordà,"6,47",Vino de postre,,
Marqués de la Concordia,Crianza Rioja,2015,"3,7",780,España,Rioja,"6,47",Vino tinto,,
Viñedos Hermanos Hernáiz,Finca La Emperatriz El Jardín de La Emperatriz Blanco,2019,"3,7",50,España,Rioja Alta,"6,49",Vino blanco,,
Señorío de Sarria,Viñedo No. 5,2020,"3,6",17,España,Navarra,"6,50",Vino rosado,,
EGO,Talento Ecológico,2019,"3,7",212,España,Jumilla,"6,50",Vino tinto,,
Divina Proporción,Loquillo Tinto Barrica,2020,"3,9",14,España,Toro,"6,50",Vino tinto,,
D Luis R,PINC Clarete,2019,"3,6",53,España,Rioja,"6,50",Vino rosado,,
Dominio de Calles,Crianza,2014,"3,6",65,España,Valencia,"6,50",Vino tinto,,
El Miracle,No. 05,2021,"3,6",42,España,Valencia,"6,50",Vino rosado,,
Pradorey,Lia,2020,"3,7",32,España,Ribera del Duero,"6,50",Vino rosado,,
Viña Zorzal,Chardonnay,2020,"3,6",133,España,Navarra,"6,50",Vino blanco,,
J. Fernando,Verdejo,2020,"3,6",112,España,Rueda,"6,50",Vino blanco,,
Bodegas Cosme Palacio,Glorioso Rioja Crianza,2018,"3,8",86,España,Rioja,"6,50",Vino tinto,,
Lagravera,Laltre,2020,"3,8",112,España,Costers del Segre,"6,50",Vino tinto,,
Laudum,Crianza,2018,"3,6",18,España,Alicante,"6,50",Vino tinto,,
De Moya,Tibó Blanco,2021,"3,9",29,España,Valencia,"6,50",Vino blanco,,
Viña Real,Rioja Rosado,2020,"3,6",83,España,Rioja,"6,50",Vino rosado,,
Muriel,Fincas de la Villa Rioja Crianza,2018,"3,7",496,España,Rioja,"6,50",Vino tinto,,
Olivares,Rosado,2021,"3,6",35,España,Jumilla,"6,50",Vino rosado,,
Ramón Bilbao,Rioja Rosado,2021,"3,7",285,España,Rioja,"6,50",Vino rosado,,
Bruno Murciano,Parajes del Cabriel,2020,"3,8",19,España,Utiel-Requena,"6,50",Vino tinto,,
Singulares,Afortunado Verdejo Rueda,2021,"3,9",106,España,Rueda,"6,50",Vino blanco,,
Bodega Sommos,Chardonnay Roble,2021,"3,6",31,España,Somontano,"6,50",Vino blanco,,
Barbadillo,Quãdis Joven Cadiz,2020,"3,7",42,España,Cádiz,"6,50",Vino tinto,,
Volver,Paso a Paso Organic Red,2020,"3,8",11,España,La Mancha,"6,50",Vino tinto,,
Finca La Estacada,12 Meses en Barrica Crianza,2018,"3,8",17,España,Uclés,"6,50",Vino tinto,,
De Moya,Tibó Blanco,2019,"3,9",151,España,Valencia,"6,50",Vino blanco,,
De Moya,Justina,2018,"3,9",395,España,Valencia,"6,50",Vino tinto,,
Península Vinicultores,Viñedos Viejos Vino de Montana,2020,"3,8",12,España,Madrid,"6,50",Vino tinto,,
Laus,Crianza,2016,"3,6",177,España,Somontano,"6,50",Vino tinto,,
El Miracle,El Miracle By Mariscal Old Vine Garnacha Tintorera,2019,"3,6",64,España,Valencia,"6,50",Vino tinto,,
Batán de Salas de Beroz,Esencia de Gewürz,2019,"3,9",28,España,Somontano,"6,50",Vino blanco,,
Monasterio de Las Vinas,Reserva,2016,"3,8",552,España,Cariñena,"6,50",Vino tinto,,
Marqués de la Concordia,MM Selección Especial Brut Vintage,2019,"3,7",63,España,Cava,"6,50",Vino espumoso,,
Pinord,Dibon Brut Rosé Cava,5427,"4,0",625,España,Cava,"6,50",Vino espumoso,,
Moacin,Alto Acín Seleccion Verdejo,2020,"3,6",42,España,Rueda,"6,50",Vino blanco,,
Ramón Bilbao,Verdejo Rueda,2021,"3,9",330,España,Rueda,"6,50",Vino blanco,,
Viña Zorzal,Garnacha Rosé,2021,"3,6",24,España,Navarra,"6,50",Vino rosado,,
EGO,Goru el Blanco,2021,"3,7",12,España,Jumilla,"6,50",Vino blanco,,
Celler 9+,Blau Marí,2020,"3,6",11,España,Tarragona,"6,50",Vino tinto,,
Pasión,Bobal Rosé,2021,"4,0",16,España,Utiel-Requena,"6,50",Vino rosado,,
Divina Proporción,Loquillo Tinto Barrica,2019,"4,2",15,España,Toro,"6,50",Vino tinto,,
Olivares,Rosado,2020,"3,6",229,España,Jumilla,"6,50",Vino rosado,,
Viña Real,Rioja Rosado,2021,"3,9",43,España,Rioja,"6,50",Vino rosado,,
Fusta Nova,Blanco,2019,"3,7",17,España,Valencia,"6,50",Vino blanco,,
Yllera,Vendimia Nocturna Sauvignon Blanc,2021,"3,7",28,España,Rueda,"6,50",Vino blanco,,
Viñedos y Bodegas Muñoz,Finca Muñoz Colección de la Familia,2019,"4,0",89,España,Castilla,,Vino tinto,,
Muriel,Fincas de la Villa Rioja Crianza,2019,"3,7",49,España,Rioja,"6,50",Vino tinto,,
Blanco Nieva,Verdejo,2019,"3,8",75,España,Rueda,"6,50",Vino blanco,,
Familia Torres,Viña Sol Rosado,2020,"3,6",205,España,Cataluña,"6,50",Vino rosado,,
Finca Antigua,Red Organic,2017,"3,6",17,España,La Mancha,"6,50",Vino tinto,,
Bodegas Carramimbre,Carramimbre Verdejo,2021,"4,0",54,España,Rueda,"6,50",Vino blanco,,
Bodegas Ponce,Clos Lojen Manchuela,2021,"3,7",29,España,Manchuela,"6,50",Vino tinto,,
Viña Cantosán,Brut,5925,"3,6",149,España,Rueda,"6,50",Vino espumoso,,
José Estévez,Castillo de Miraflores Semidulce,2021,"4,1",33,España,Rueda,"6,50",Vino de postre,,
Altanza,Sauvignon Blanc,2021,"3,9",10,España,Rioja Alta,"6,50",Vino blanco,,
Campo Viejo,Tempranillo,2019,"3,7",5242,España,Rioja,"6,50",Vino tinto,,
Bodegas Fontana,Oveja Tinta Graciano - Malbec,2019,"3,6",97,España,La Mancha,"6,50",Vino tinto,,
Jordi Miró,Ennak,2020,"4,0",26,España,Terra Alta,"6,51",Vino tinto,,
Mas Llunes,Maragda Blanc,2021,"3,9",21,España,Empordà,"6,53",Vino blanco,,
Pazo Das Tapias,Alma de Blanco,2021,"3,7",49,España,Monterrei,"6,54",Vino blanco,,
Gran Recosind,Criança,2017,"3,8",33,España,Empordà,"6,55",Vino tinto,,
Javier Sanz Viticultor,Semidulce,2021,"4,1",25,España,Rueda,"6,55",Vino de postre,,
Rexach Baqués,Reserva Brut Imperial,0645,"3,6",112,España,Cava,"6,56",Vino espumoso,,
Castell del Remei,Gotim Blanc,2021,"3,6",62,España,Costers del Segre,"6,57",Vino blanco,,
Freixenet,Cava Gran Carta Nevada,8438,"3,6",2910,España,Cava,"6,58",Vino espumoso,,
Bodegas Mano a Mano,Mano a Mano,2016,"3,7",995,España,Castilla,"6,59",Vino tinto,,
Bodegas Fontana,Dominio de Fontana Sauvignon Blanc - Verdejo,2020,"3,8",140,España,Uclés,"6,59",Vino blanco,,
Marques de Burgos,Roble Vendimia Seleccionada,2020,"3,7",15,España,Ribera del Duero,"6,59",Vino tinto,,
Marqués de Riscal,Rosado,2021,"3,6",90,España,Rioja,"6,59",Vino rosado,,
El Escocés Volante,La Multa Old Vine Garnacha,2019,"3,6",37,España,Calatayud,"6,60",Vino tinto,,
