winery,wine,year,rating,num_review,country,region,price,type,body,acidity
Bienbebido,Come Pulpo y Bebe Vino,2021,"3,6",12,España,Vino de España,"4,50",Vino blanco,,
Yllera,9 Meses en Barrica Roble Tempranillo,2018,"3,7",106,España,Ribera del Duero,"4,50",Vino tinto,,
Monasterio de Las Vinas,Crianza,2018,"3,8",929,España,Cariñena,"4,50",Vino tinto,,
El Circo,Forzudo Crianza,2016,"3,7",39,España,Cariñena,"4,50",Vino tinto,,
Raimat,Clamor Rosado,2021,"3,7",100,España,Costers del Segre,"4,50",Vino rosado,,
Borsao Bodegas,Tinto (Selección / Garnacha),2020,"3,6",684,España,Campo de Borja,"4,50",Vino tinto,,
Campo Viejo,Viura - Tempranillo Blanco,2021,"3,8",60,España,Rioja,"4,50",Vino blanco,,
Carlos Serres,Rioja Tempranillo,2020,"3,6",203,España,Rioja,"4,51",Vino tinto,,
Toresanas,Orot,2019,"3,6",41,España,Toro,"4,60",Vino tinto,,
Bodegas Faustino,V Bianco,2021,"3,6",76,España,Rioja,"4,60",Vino blanco,,
Marqués de la Concordia,Rioja Santiago Segundo Año,2020,"3,7",126,España,Rioja,"4,60",Vino tinto,,
Finca La Estacada,Hello World Cabernet Franc,2019,"3,7",135,España,Castilla,"4,62",Vino tinto,,
Finca La Estacada,Hello World Viognier,2020,"3,6",63,España,Castilla,"4,62",Vino blanco,,
La Purisima,Consentido Macabeo,2020,"3,8",10,España,Yecla,"4,65",Vino blanco,,
La Purisima,Consentido Syrah,2019,"3,7",65,España,Yecla,"4,65",Vino tinto,,
La Purisima,Old Hands Roble,2018,"3,6",35,España,Yecla,"4,66",Vino tinto,,
J. Fernando,Verdejo,2021,"3,6",63,España,Rueda,"4,67",Vino blanco,,
Marqués de Riscal,Viña Calera Verdejo,2020,"3,6",65,España,Rueda,"4,68",Vino blanco,,
Campo Viejo,Semidulce,2019,"3,8",100,España,Rioja,"4,69",Vino blanco,,
Montespina,Verdejo,2021,"3,7",99,España,Rueda,"4,69",Vino blanco,,
Palacio de Bornos,"Verdejo 5,5° Frizzante",3912,"3,8",709,España,Castilla y León,"4,70",Vino espumoso,,
Condesa de Leganza,Selección de Familia Rosado,2021,"3,6",20,España,Castilla,"4,73",Vino rosado,,
Señorío de Sarria,Crianza,2017,"3,6",140,España,Navarra,"4,73",Vino tinto,,
Liberalia,Dos,2020,"3,7",10,España,Toro,"4,73",Vino tinto,,
Cuatro Rayas,Gala Mágica Verdejo,2020,"3,7",17,España,Rueda,"4,75",Vino blanco,,
Borsao Bodegas,Blanco (Selección),2021,"3,6",31,España,Campo de Borja,"4,75",Vino blanco,,
Borsao Bodegas,Tinto (Selección / Garnacha),2021,"3,8",11,España,Campo de Borja,"4,75",Vino tinto,,
Viña Bujanda,Rioja Tinto Joven,2020,"3,8",13,España,Rioja,"4,75",Vino tinto,,
Borsao Bodegas,Rosado (Selección Rosado / Rosé),2021,"3,7",36,España,Campo de Borja,"4,75",Vino rosado,,
Borsao Bodegas,Rosado (Selección Rosado / Rosé),2019,"3,6",185,España,Campo de Borja,"4,80",Vino rosado,,
Miquel Pons,Arrelium Blanc de Blancs,2018,"3,6",22,España,Penedès,"4,80",Vino blanco,,
Marqués de Vizhoja,Marqués de Vizhoja,2021,"3,6",95,España,Vino de España,"4,80",Vino blanco,,
Alquézar,Rosado,2021,"3,6",15,España,Somontano,"4,82",Vino rosado,,
Bodega Pirineos,3404 Blanco,2021,"3,9",59,España,Somontano,"4,85",Vino blanco,,
Las Campanas,Crianza,2018,"3,6",18,España,Navarra,"4,90",Vino tinto,,
Sandara,Premium Sangria,1632,"3,7",768,España,Valencia,"4,90",Vino espumoso,,
Bodegas Ochoa,Calendas Tinto,2019,"3,6",71,España,Navarra,"4,90",Vino tinto,,
Particular,Garnacha Rosado,2020,"3,6",12,España,Cariñena,"4,90",Vino rosado,,
Particular,Garnacha,2020,"3,9",154,España,Cariñena,"4,80",Vino tinto,,
Sandara,Sparkling Blanco,2758,"3,7",561,España,Valencia,"4,90",Vino espumoso,,
Hoya de Cadenas,Reserva Privada,2017,"3,6",52,España,Utiel-Requena,"4,90",Vino tinto,,
Sandara,Sparkling Passionate Bubbles Rosado,7238,"3,8",1162,España,Valencia,"4,90",Vino espumoso,,
